"id"	"dt"	"msg"	"level"
"440"	"2023-03-18 15:26:38.789890"	"46/55 63-延边卫视-tvmao;共获取节目数量:21,;并已经保存至数据库..."	"1"
"441"	"2023-03-18 15:26:38.958152"	"47/55 65-黄河卫视-tvmao;共获取节目数量:20,;并已经保存至数据库..."	"1"
"442"	"2023-03-18 15:26:38.975106"	"67-卡酷动画-chuanliu 第 1 次重试失败！未提供川流TV的Authorization..."	"1"
"443"	"2023-03-18 15:26:38.983085"	"经过1次重试，chuanliu来源未能获取到 67-卡酷动画 频道数据!尝试更换来源。错误信息:未提供川流TV的Authorization..."	"1"
"444"	"2023-03-18 15:26:39.102764"	"chuanliu 来源获取失败， tvmao 来源获取成功..."	"1"
"445"	"2023-03-18 15:26:39.175569"	"48/55 67-卡酷动画-tvmao;共获取节目数量:53,;并已经保存至数据库..."	"1"
"446"	"2023-03-18 15:26:39.466159"	"49/55 68-厦门卫视-tvmao;共获取节目数量:37,;并已经保存至数据库..."	"1"
"447"	"2023-03-18 15:26:39.694547"	"50/55 69-金鹰卡通-tvmao;共获取节目数量:26,;并已经保存至数据库..."	"1"
"448"	"2023-03-18 15:26:39.881015"	"51/55 70-康巴卫视-tvmao;共获取节目数量:44,;并已经保存至数据库..."	"1"
"449"	"2023-03-18 15:26:39.898645"	"71-西藏卫视-chuanliu 第 1 次重试失败！未提供川流TV的Authorization..."	"1"
"450"	"2023-03-18 15:26:39.905050"	"经过1次重试，chuanliu来源未能获取到 71-西藏卫视 频道数据!尝试更换来源。错误信息:未提供川流TV的Authorization..."	"1"
"451"	"2023-03-18 15:26:42.603884"	"71-西藏卫视 更换 tvsou 来源后，获取信息失败,spider-tvsou-连接失败，list index out of range..."	"2"
"452"	"2023-03-18 15:26:42.705049"	"chuanliu,tvsou 来源获取失败， tvmao 来源获取成功..."	"1"
"453"	"2023-03-18 15:26:42.778602"	"52/55 71-西藏卫视-tvmao;共获取节目数量:35,;并已经保存至数据库..."	"1"
